name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
Meowth,50,52,50,40,90,normal,dark,,1,0
Persian,50,53,75,65,115,normal,dark,,1,0
Psyduck,50,54,65,50,55,water,,19.6,1,0
Golduck,50,55,95,80,85,water,,76.6,1,0
Mankey,50,56,35,45,70,fighting,,28,1,0
Primeape,50,57,60,70,95,fighting,,32,1,0
Growlithe,75.4,58,70,50,60,fire,,19,1,0
Arcanine,75.4,59,100,80,95,fire,,155,1,0
Poliwag,50,60,40,40,90,water,,12.4,1,0
Poliwhirl,50,61,50,50,90,water,,20,1,0
Poliwrath,50,62,70,90,70,water,fighting,54,1,0
Abra,75.4,63,105,55,90,psychic,,19.5,1,0
Kadabra,75.4,64,120,70,105,psychic,,56.5,1,0
Alakazam,75.4,65,175,105,150,psychic,,48,1,0
Machop,75.4,66,35,35,35,fighting,,19.5,1,0
Machoke,75.4,67,50,60,45,fighting,,70.5,1,0
Machamp,75.4,68,65,85,55,fighting,,130,1,0
Bellsprout,50,69,70,30,40,grass,poison,4,1,0
Weepinbell,50,70,85,45,55,grass,poison,6.4,1,0
Victreebel,50,71,100,70,70,grass,poison,15.5,1,0
Tentacool,50,72,50,100,70,water,poison,45.5,1,0
Tentacruel,50,73,80,120,100,water,poison,55,1,0
Geodude,50,74,30,30,20,rock,ground,,1,0
Graveler,50,75,45,45,35,rock,ground,,1,0
Golem,50,76,55,65,45,rock,ground,,1,0
Ponyta,50,77,65,65,90,fire,,30,1,0
Rapidash,50,78,80,80,105,fire,,95,1,0
Slowpoke,50,79,40,40,15,water,psychic,36,1,0
Slowbro,50,80,130,80,30,water,psychic,78.5,1,0
Magnemite,,81,95,55,45,electric,steel,6,1,0
Magneton,,82,120,70,70,electric,steel,60,1,0
Farfetch'd,50,83,58,62,60,normal,flying,15,1,0
Doduo,50,84,35,35,75,normal,flying,39.2,1,0
Dodrio,50,85,60,60,110,normal,flying,85.2,1,0
Seel,50,86,45,70,45,water,,90,1,0
Dewgong,50,87,70,95,70,water,ice,120,1,0
Grimer,50,88,40,50,25,poison,poison,,1,0
Muk,50,89,65,100,50,poison,poison,,1,0
Shellder,50,90,45,25,40,water,,4,1,0
Cloyster,50,91,85,45,70,water,ice,132.5,1,0
Gastly,50,92,100,35,80,ghost,poison,0.1,1,0
Haunter,50,93,115,55,95,ghost,poison,0.1,1,0
Gengar,50,94,170,95,130,ghost,poison,40.5,1,0
Onix,50,95,30,45,70,rock,ground,210,1,0
Drowzee,50,96,43,90,42,psychic,,32.4,1,0
Hypno,50,97,73,115,67,psychic,,75.6,1,0
Krabby,50,98,25,25,50,water,,6.5,1,0
Kingler,50,99,50,50,75,water,,60,1,0
Voltorb,,100,55,55,100,electric,,10.4,1,0
Electrode,,101,80,80,150,electric,,66.6,1,0
Exeggcute,50,102,60,45,40,grass,psychic,2.5,1,0
Exeggutor,50,103,125,75,45,grass,psychic,,1,0
Cubone,50,104,40,50,35,ground,,6.5,1,0
Marowak,50,105,50,80,45,ground,fire,,1,0
Hitmonlee,100,106,35,110,87,fighting,,49.8,1,0
Hitmonchan,100,107,35,110,76,fighting,,50.2,1,0
Lickitung,50,108,60,75,30,normal,,65.5,1,0
Koffing,50,109,60,45,35,poison,,1,1,0
Weezing,50,110,85,70,60,poison,,9.5,1,0
Rhyhorn,50,111,30,30,25,ground,rock,115,1,0
Rhydon,50,112,45,45,40,ground,rock,120,1,0
Chansey,0,113,35,105,50,normal,,34.6,1,0
Tangela,50,114,100,40,60,grass,,35,1,0
Kangaskhan,0,115,60,100,100,normal,,80,1,0
Horsea,50,116,70,25,60,water,,8,1,0
Seadra,50,117,95,45,85,water,,25,1,0
Goldeen,50,118,35,50,63,water,,15,1,0
Seaking,50,119,65,80,68,water,,39,1,0
Staryu,,120,70,55,85,water,,34.5,1,0
Starmie,,121,100,85,115,water,psychic,80,1,0
Mr. Mime,50,122,100,120,90,psychic,fairy,54.5,1,0
Scyther,50,123,55,80,105,bug,flying,56,1,0
Jynx,0,124,115,95,95,ice,psychic,40.6,1,0
Electabuzz,75.4,125,95,85,105,electric,,30,1,0
Magmar,75.4,126,100,85,93,fire,,44.5,1,0
Pinsir,50,127,65,90,105,bug,,55,1,0
Tauros,100,128,40,70,110,normal,,88.4,1,0
Magikarp,50,129,15,20,80,water,,10,1,0
Gyarados,50,130,70,130,81,water,flying,235,1,0
Lapras,50,131,85,95,60,water,ice,220,1,0
Ditto,,132,48,48,48,normal,,4,1,0
Eevee,88.1,133,45,65,55,normal,,6.5,1,0
Vaporeon,88.1,134,110,95,65,water,,29,1,0
Jolteon,88.1,135,110,95,130,electric,,24.5,1,0
Flareon,88.1,136,95,110,65,fire,,25,1,0
Porygon,,137,85,75,40,normal,,36.5,1,0
Omanyte,88.1,138,90,55,35,rock,water,7.5,1,0
Omastar,88.1,139,115,70,55,rock,water,35,1,0
Kabuto,88.1,140,55,45,55,rock,water,11.5,1,0
Kabutops,88.1,141,65,70,80,rock,water,40.5,1,0
Aerodactyl,88.1,142,70,95,150,rock,flying,59,1,0
Snorlax,88.1,143,65,110,30,normal,,460,1,0
Articuno,,144,95,125,85,ice,flying,55.4,1,1
Zapdos,,145,125,90,100,electric,flying,52.6,1,1
Moltres,,146,125,85,90,fire,flying,60,1,1
Dratini,50,147,50,50,50,dragon,,3.3,1,0
Dragonair,50,148,70,70,70,dragon,,16.5,1,0
Dragonite,50,149,100,100,80,dragon,flying,210,1,0
Mewtwo,,150,194,120,140,psychic,,122,1,1
Mew,,151,100,100,100,psychic,,4,1,1
Chikorita,88.1,152,49,65,45,grass,,6.4,2,0
Bayleef,88.1,153,63,80,60,grass,,15.8,2,0
Meganium,88.1,154,83,100,80,grass,,100.5,2,0
Cyndaquil,88.1,155,60,50,65,fire,,7.9,2,0
Quilava,88.1,156,80,65,80,fire,,19,2,0
Typhlosion,88.1,157,109,85,100,fire,,79.5,2,0
Totodile,88.1,158,44,48,43,water,,9.5,2,0
Croconaw,88.1,159,59,63,58,water,,25,2,0
Feraligatr,88.1,160,79,83,78,water,,88.8,2,0
Sentret,50,161,35,45,20,normal,,6,2,0
Furret,50,162,45,55,90,normal,,32.5,2,0
Hoothoot,50,163,36,56,50,normal,flying,21.2,2,0
Noctowl,50,164,86,96,70,normal,flying,40.8,2,0
Ledyba,50,165,40,80,55,bug,flying,10.8,2,0
Ledian,50,166,55,110,85,bug,flying,35.6,2,0
Spinarak,50,167,40,40,30,bug,poison,8.5,2,0
Ariados,50,168,60,70,40,bug,poison,33.5,2,0
Crobat,50,169,70,80,130,poison,flying,75,2,0
Chinchou,50,170,56,56,67,water,electric,12,2,0
Lanturn,50,171,76,76,67,water,electric,22.5,2,0
Pichu,50,172,35,35,60,electric,,2,2,0
Cleffa,24.6,173,45,55,15,fairy,,3,2,0
Igglybuff,24.6,174,40,20,15,normal,fairy,1,2,0
Togepi,88.1,175,40,65,20,fairy,,1.5,2,0
Togetic,88.1,176,80,105,40,fairy,flying,3.2,2,0
Natu,50,177,70,45,70,psychic,flying,2,2,0
Xatu,50,178,95,70,95,psychic,flying,15,2,0
Mareep,50,179,65,45,35,electric,,7.8,2,0
Flaaffy,50,180,80,60,45,electric,,13.3,2,0
Ampharos,50,181,165,110,45,electric,,61.5,2,0
Bellossom,50,182,90,100,50,grass,,5.8,2,0
Marill,50,183,20,50,40,water,fairy,8.5,2,0
Azumarill,50,184,60,80,50,water,fairy,28.5,2,0
Sudowoodo,50,185,30,65,30,rock,,38,2,0
Politoed,50,186,90,100,70,water,,33.9,2,0
Hoppip,50,187,35,55,50,grass,flying,0.5,2,0
Skiploom,50,188,45,65,80,grass,flying,1,2,0
Jumpluff,50,189,55,95,110,grass,flying,3,2,0
Aipom,50,190,40,55,85,normal,,11.5,2,0
Sunkern,50,191,30,30,30,grass,,1.8,2,0
Sunflora,50,192,105,85,30,grass,,8.5,2,0
Yanma,50,193,75,45,95,bug,flying,38,2,0
Wooper,50,194,25,25,15,water,ground,8.5,2,0
Quagsire,50,195,65,65,35,water,ground,75,2,0
Espeon,88.1,196,130,95,110,psychic,,26.5,2,0
Umbreon,88.1,197,60,130,65,dark,,27,2,0
Murkrow,50,198,85,42,91,dark,flying,2.1,2,0
Slowking,50,199,100,110,30,water,psychic,79.5,2,0
Misdreavus,50,200,85,85,85,ghost,,1,2,0
Unown,,201,72,48,48,psychic,,5,2,0
Wobbuffet,50,202,33,58,33,psychic,,28.5,2,0
Girafarig,50,203,90,65,85,normal,psychic,41.5,2,0
Pineco,50,204,35,35,15,bug,,7.2,2,0
Forretress,50,205,60,60,40,bug,steel,125.8,2,0
Dunsparce,50,206,65,65,45,normal,,14,2,0
Gligar,50,207,35,65,85,ground,flying,64.8,2,0
Steelix,50,208,55,95,30,steel,ground,400,2,0
Snubbull,24.6,209,40,40,30,fairy,,7.8,2,0
Granbull,24.6,210,60,60,45,fairy,,48.7,2,0
Qwilfish,50,211,55,55,85,water,poison,3.9,2,0
Scizor,50,212,65,100,75,bug,steel,118,2,0
Shuckle,50,213,10,230,5,bug,rock,20.5,2,0
Heracross,50,214,40,105,75,bug,fighting,54,2,0
Sneasel,50,215,35,75,115,dark,ice,28,2,0
Teddiursa,50,216,50,50,40,normal,,8.8,2,0
Ursaring,50,217,75,75,55,normal,,125.8,2,0
Slugma,50,218,70,40,20,fire,,35,2,0
Magcargo,50,219,90,80,30,fire,rock,55,2,0
Swinub,50,220,30,30,50,ice,ground,6.5,2,0
Piloswine,50,221,60,60,50,ice,ground,55.8,2,0
Corsola,24.6,222,65,95,35,water,rock,5,2,0
Remoraid,50,223,65,35,65,water,,12,2,0
Octillery,50,224,105,75,45,water,,28.5,2,0
Delibird,50,225,65,45,75,ice,flying,16,2,0
Mantine,50,226,80,140,70,water,flying,220,2,0
Skarmory,50,227,40,70,70,steel,flying,50.5,2,0
Houndour,50,228,80,50,65,dark,fire,10.8,2,0
Houndoom,50,229,140,90,115,dark,fire,35,2,0
Kingdra,50,230,95,95,85,water,dragon,152,2,0
Phanpy,50,231,40,40,40,ground,,33.5,2,0
Donphan,50,232,60,60,50,ground,,120,2,0
Porygon2,,233,105,95,60,normal,,32.5,2,0
Stantler,50,234,85,65,85,normal,,71.2,2,0
Smeargle,50,235,20,45,75,normal,,58,2,0
Tyrogue,100,236,35,35,35,fighting,,21,2,0
Hitmontop,100,237,35,110,70,fighting,,48,2,0
Smoochum,0,238,85,65,65,ice,psychic,6,2,0
Elekid,75.4,239,65,55,95,electric,,23.5,2,0
Magby,75.4,240,70,55,83,fire,,21.4,2,0
Miltank,0,241,40,70,100,normal,,75.5,2,0
Blissey,0,242,75,135,55,normal,,46.8,2,0
Raikou,,243,115,100,115,electric,,178,2,1
Entei,,244,90,75,100,fire,,198,2,1
Suicune,,245,90,115,85,water,,187,2,1
Larvitar,50,246,45,50,41,rock,ground,72,2,0
Pupitar,50,247,65,70,51,rock,ground,152,2,0
Tyranitar,50,248,95,120,71,rock,dark,202,2,0
Lugia,,249,90,154,110,psychic,flying,216,2,1
Ho-Oh,,250,110,154,90,fire,flying,199,2,1
Celebi,,251,100,100,100,psychic,grass,5,2,1
Treecko,88.1,252,65,55,70,grass,,5,3,0
Grovyle,88.1,253,85,65,95,grass,,21.6,3,0
Sceptile,88.1,254,145,85,145,grass,,52.2,3,0
Torchic,88.1,255,70,50,45,fire,,2.5,3,0
Combusken,88.1,256,85,60,55,fire,fighting,19.5,3,0
Blaziken,88.1,257,130,80,100,fire,fighting,52,3,0
Mudkip,88.1,258,50,50,40,water,,7.6,3,0
Marshtomp,88.1,259,60,70,50,water,ground,28,3,0
Swampert,88.1,260,95,110,70,water,ground,81.9,3,0
Poochyena,50,261,30,30,35,dark,,13.6,3,0
Mightyena,50,262,60,60,70,dark,,37,3,0
Zigzagoon,50,263,30,41,60,normal,,17.5,3,0
Linoone,50,264,50,61,100,normal,,32.5,3,0
Wurmple,50,265,20,30,20,bug,,3.6,3,0
Silcoon,50,266,25,25,15,bug,,10,3,0
Beautifly,50,267,100,50,65,bug,flying,28.4,3,0
Cascoon,50,268,25,25,15,bug,,11.5,3,0
Dustox,50,269,50,90,65,bug,poison,31.6,3,0
Lotad,50,270,40,50,30,water,grass,2.6,3,0
Lombre,50,271,60,70,50,water,grass,32.5,3,0
Ludicolo,50,272,90,100,70,water,grass,55,3,0
Seedot,50,273,30,30,30,grass,,4,3,0
Nuzleaf,50,274,60,40,60,grass,dark,28,3,0
Shiftry,50,275,90,60,80,grass,dark,59.6,3,0
Taillow,50,276,30,30,85,normal,flying,2.3,3,0
Swellow,50,277,75,50,125,normal,flying,19.8,3,0
Wingull,50,278,55,30,85,water,flying,9.5,3,0
Pelipper,50,279,95,70,65,water,flying,28,3,0
Ralts,50,280,45,35,40,psychic,fairy,6.6,3,0
Kirlia,50,281,65,55,50,psychic,fairy,20.2,3,0
Gardevoir,50,282,165,135,100,psychic,fairy,48.4,3,0
Surskit,50,283,50,52,65,bug,water,1.7,3,0
Masquerain,50,284,100,82,80,bug,flying,3.6,3,0
Shroomish,50,285,40,60,35,grass,,4.5,3,0
Breloom,50,286,60,60,70,grass,fighting,39.2,3,0
Slakoth,50,287,35,35,30,normal,,24,3,0
Vigoroth,50,288,55,55,90,normal,,46.5,3,0
Slaking,50,289,95,65,100,normal,,130.5,3,0
Nincada,50,290,30,30,40,bug,ground,5.5,3,0
Ninjask,50,291,50,50,160,bug,flying,12,3,0
Shedinja,,292,30,30,40,bug,ghost,1.2,3,0
Whismur,50,293,51,23,28,normal,,16.3,3,0
Loudred,50,294,71,43,48,normal,,40.5,3,0
Exploud,50,295,91,73,68,normal,,84,3,0
Makuhita,75.4,296,20,30,25,fighting,,86.4,3,0
Hariyama,75.4,297,40,60,50,fighting,,253.8,3,0
Azurill,24.6,298,20,40,20,normal,fairy,2,3,0
Nosepass,50,299,45,90,30,rock,,97,3,0
Skitty,24.6,300,35,35,50,normal,,11,3,0
Delcatty,24.6,301,55,55,90,normal,,32.6,3,0
Sableye,50,302,85,115,20,dark,ghost,11,3,0
Mawile,50,303,55,95,50,steel,fairy,11.5,3,0
Aron,50,304,40,40,30,steel,rock,60,3,0
Lairon,50,305,50,50,40,steel,rock,120,3,0
Aggron,50,306,60,80,50,steel,rock,360,3,0
Meditite,50,307,40,55,60,fighting,psychic,11.2,3,0
Medicham,50,308,80,85,100,fighting,psychic,31.5,3,0
Electrike,50,309,65,40,65,electric,,15.2,3,0
Manectric,50,310,135,80,135,electric,,40.2,3,0
Plusle,50,311,85,75,95,electric,,4.2,3,0
Minun,50,312,75,85,95,electric,,4.2,3,0
Volbeat,100,313,47,85,85,bug,,17.7,3,0
Illumise,0,314,73,85,85,bug,,17.7,3,0
Roselia,50,315,100,80,65,grass,poison,2,3,0
Gulpin,50,316,43,53,40,poison,,10.3,3,0
Swalot,50,317,73,83,55,poison,,80,3,0
Carvanha,50,318,65,20,65,water,dark,20.8,3,0
Sharpedo,50,319,110,65,105,water,dark,88.8,3,0
Wailmer,50,320,70,35,60,water,,130,3,0
Wailord,50,321,90,45,60,water,,398,3,0
Numel,50,322,65,45,35,fire,ground,24,3,0
Camerupt,50,323,145,105,20,fire,ground,220,3,0
Torkoal,50,324,85,70,20,fire,,80.4,3,0
Spoink,50,325,70,80,60,psychic,,30.6,3,0
Grumpig,50,326,90,110,80,psychic,,71.5,3,0
Spinda,50,327,60,60,60,normal,,5,3,0
Trapinch,50,328,45,45,10,ground,,15,3,0
Vibrava,50,329,50,50,70,ground,dragon,15.3,3,0
Flygon,50,330,80,80,100,ground,dragon,82,3,0
Cacnea,50,331,85,40,35,grass,,51.3,3,0
Cacturne,50,332,115,60,55,grass,dark,77.4,3,0
Swablu,50,333,40,75,50,normal,flying,1.2,3,0
Altaria,50,334,110,105,80,dragon,flying,20.6,3,0
Zangoose,50,335,60,60,90,normal,,40.3,3,0
Seviper,50,336,100,60,65,poison,,52.5,3,0
Lunatone,,337,95,85,70,rock,psychic,168,3,0
Solrock,,338,55,65,70,rock,psychic,154,3,0
Barboach,50,339,46,41,60,water,ground,1.9,3,0
Whiscash,50,340,76,71,60,water,ground,23.6,3,0
Corphish,50,341,50,35,35,water,,11.5,3,0
Crawdaunt,50,342,90,55,55,water,dark,32.8,3,0
Baltoy,,343,40,70,55,ground,psychic,21.5,3,0
Claydol,,344,70,120,75,ground,psychic,108,3,0
Lileep,88.1,345,61,87,23,rock,grass,23.8,3,0
Cradily,88.1,346,81,107,43,rock,grass,60.4,3,0
Anorith,88.1,347,40,50,75,rock,bug,12.5,3,0
Armaldo,88.1,348,70,80,45,rock,bug,68.2,3,0
Feebas,50,349,10,55,80,water,,7.4,3,0
Milotic,50,350,100,125,81,water,,162,3,0
Castform,50,351,70,70,70,normal,,0.8,3,0
Kecleon,50,352,60,120,40,normal,,22,3,0
Shuppet,50,353,63,33,45,ghost,,2.3,3,0
Banette,50,354,93,83,75,ghost,,12.5,3,0
Duskull,50,355,30,90,25,ghost,,15,3,0
Dusclops,50,356,60,130,25,ghost,,30.6,3,0
Tropius,50,357,72,87,51,grass,flying,100,3,0
Chimecho,50,358,95,90,65,psychic,,1,3,0
Absol,50,359,115,60,115,dark,,47,3,0
Wynaut,50,360,23,48,23,psychic,,14,3,0
Snorunt,50,361,50,50,50,ice,,16.8,3,0
Glalie,50,362,120,80,100,ice,,256.5,3,0
Spheal,50,363,55,50,25,ice,water,39.5,3,0
Sealeo,50,364,75,70,45,ice,water,87.6,3,0
Walrein,50,365,95,90,65,ice,water,150.6,3,0
Clamperl,50,366,74,55,32,water,,52.5,3,0
Huntail,50,367,94,75,52,water,,27,3,0
Gorebyss,50,368,114,75,52,water,,22.6,3,0
Relicanth,88.1,369,45,65,55,water,rock,23.4,3,0
Luvdisc,24.6,370,40,65,97,water,,8.7,3,0
Bagon,50,371,40,30,50,dragon,,42.1,3,0
Shelgon,50,372,60,50,50,dragon,,110.5,3,0
Salamence,50,373,120,90,120,dragon,flying,102.6,3,0
Beldum,,374,35,60,30,steel,psychic,95.2,3,0
Metang,,375,55,80,50,steel,psychic,202.5,3,0
Metagross,,376,105,110,110,steel,psychic,550,3,0
Regirock,,377,50,100,50,rock,,230,3,1
Regice,,378,100,200,50,ice,,175,3,1
Registeel,,379,75,150,50,steel,,205,3,1
Latias,0,380,140,150,110,dragon,psychic,40,3,1
Latios,100,381,160,120,110,dragon,psychic,60,3,1
Kyogre,,382,180,160,90,water,,352,3,1
Groudon,,383,150,90,90,ground,,950,3,1
Rayquaza,,384,180,100,115,dragon,flying,206.5,3,1
Jirachi,,385,100,100,100,steel,psychic,1.1,3,1
Deoxys,,386,95,90,180,psychic,,60.8,3,1
Turtwig,88.1,387,45,55,31,grass,,10.2,4,0
Grotle,88.1,388,55,65,36,grass,,97,4,0
Torterra,88.1,389,75,85,56,grass,ground,310,4,0
Chimchar,88.1,390,58,44,61,fire,,6.2,4,0
Monferno,88.1,391,78,52,81,fire,fighting,22,4,0
Infernape,88.1,392,104,71,108,fire,fighting,55,4,0
Piplup,88.1,393,61,56,40,water,,5.2,4,0
Prinplup,88.1,394,81,76,50,water,,23,4,0
Empoleon,88.1,395,111,101,60,water,steel,84.5,4,0
Starly,50,396,30,30,60,normal,flying,2,4,0
Staravia,50,397,40,40,80,normal,flying,15.5,4,0
Staraptor,50,398,50,60,100,normal,flying,24.9,4,0
Bidoof,50,399,35,40,31,normal,,20,4,0
Bibarel,50,400,55,60,71,normal,water,31.5,4,0
Kricketot,50,401,25,41,25,bug,,2.2,4,0
Kricketune,50,402,55,51,65,bug,,25.5,4,0
Shinx,50,403,40,34,45,electric,,9.5,4,0
Luxio,50,404,60,49,60,electric,,30.5,4,0
Luxray,50,405,95,79,70,electric,,42,4,0
Budew,50,406,50,70,55,grass,poison,1.2,4,0
Roserade,50,407,125,105,90,grass,poison,14.5,4,0
Cranidos,88.1,408,30,30,58,rock,,31.5,4,0
Rampardos,88.1,409,65,50,58,rock,,102.5,4,0
Shieldon,88.1,410,42,88,30,rock,steel,57,4,0
Bastiodon,88.1,411,47,138,30,rock,steel,149.5,4,0
Burmy,50,412,29,45,36,bug,,3.4,4,0
Wormadam,0,413,69,95,36,bug,grass,6.5,4,0
Mothim,100,414,94,50,66,bug,flying,23.3,4,0
Combee,88.1,415,30,42,70,bug,flying,5.5,4,0
Vespiquen,0,416,80,102,40,bug,flying,38.5,4,0
Pachirisu,50,417,45,90,95,electric,,3.9,4,0
Buizel,50,418,60,30,85,water,,29.5,4,0
Floatzel,50,419,85,50,115,water,,33.5,4,0
Cherubi,50,420,62,53,35,grass,,3.3,4,0
Cherrim,50,421,87,78,85,grass,,9.3,4,0
Shellos,50,422,57,62,34,water,,6.3,4,0
Gastrodon,50,423,92,82,39,water,ground,29.9,4,0
Ambipom,50,424,60,66,115,normal,,20.3,4,0
Drifloon,50,425,60,44,70,ghost,flying,1.2,4,0
Drifblim,50,426,90,54,80,ghost,flying,15,4,0
Buneary,50,427,44,56,85,normal,,5.5,4,0
Lopunny,50,428,54,96,135,normal,,33.3,4,0
Mismagius,50,429,105,105,105,ghost,,4.4,4,0
Honchkrow,50,430,105,52,71,dark,flying,27.3,4,0
Glameow,24.6,431,42,37,85,normal,,3.9,4,0
Purugly,24.6,432,64,59,112,normal,,43.8,4,0
Chingling,50,433,65,50,45,psychic,,0.6,4,0
Stunky,50,434,41,41,74,poison,dark,19.2,4,0
Skuntank,50,435,71,61,84,poison,dark,38,4,0
Bronzor,,436,24,86,23,steel,psychic,60.5,4,0
Bronzong,,437,79,116,33,steel,psychic,187,4,0
Bonsly,50,438,10,45,10,rock,,15,4,0
Mime Jr.,50,439,70,90,60,psychic,fairy,13,4,0
Happiny,0,440,15,65,30,normal,,24.4,4,0
Chatot,50,441,92,42,91,normal,flying,1.9,4,0
Spiritomb,50,442,92,108,35,ghost,dark,108,4,0
Gible,50,443,40,45,42,dragon,ground,20.5,4,0
Gabite,50,444,50,55,82,dragon,ground,56,4,0
Garchomp,50,445,120,95,92,dragon,ground,95,4,0
Munchlax,88.1,446,40,85,5,normal,,105,4,0
Riolu,88.1,447,35,40,60,fighting,,20.2,4,0
Lucario,88.1,448,140,70,112,fighting,steel,54,4,0
Hippopotas,50,449,38,42,32,ground,,49.5,4,0
Hippowdon,50,450,68,72,47,ground,,300,4,0
Skorupi,50,451,30,55,65,poison,bug,12,4,0
Drapion,50,452,60,75,95,poison,dark,61.5,4,0
Croagunk,50,453,61,40,50,poison,fighting,23,4,0
Toxicroak,50,454,86,65,85,poison,fighting,44.4,4,0
Carnivine,50,455,90,72,46,grass,,27,4,0
Finneon,50,456,49,61,66,water,,7,4,0
Lumineon,50,457,69,86,91,water,,24,4,0
Mantyke,50,458,60,120,50,water,flying,65,4,0
Snover,50,459,62,60,40,grass,ice,50.5,4,0
Abomasnow,50,460,132,105,30,grass,ice,135.5,4,0
Weavile,50,461,45,85,125,dark,ice,34,4,0
Magnezone,,462,130,90,60,electric,steel,180,4,0
Lickilicky,50,463,80,95,50,normal,,140,4,0
Rhyperior,50,464,55,55,40,ground,rock,282.8,4,0
Tangrowth,50,465,110,50,50,grass,,128.6,4,0
Electivire,75.4,466,95,85,95,electric,,138.6,4,0
Magmortar,75.4,467,125,95,83,fire,,68,4,0
Togekiss,88.1,468,120,115,80,fairy,flying,38,4,0
Yanmega,50,469,116,56,95,bug,flying,51.5,4,0
Leafeon,88.1,470,60,65,95,grass,,25.5,4,0
Glaceon,88.1,471,130,95,65,ice,,25.9,4,0
Gliscor,50,472,45,75,95,ground,flying,42.5,4,0
Mamoswine,50,473,70,60,80,ice,ground,291,4,0
Porygon-Z,,474,135,75,90,normal,,34,4,0
Gallade,100,475,65,115,110,psychic,fighting,52,4,0
Probopass,50,476,75,150,40,rock,steel,340,4,0
Dusknoir,50,477,65,135,45,ghost,,106.6,4,0
Froslass,0,478,80,70,110,ice,ghost,26.6,4,0
Rotom,,479,105,107,86,electric,ghost,0.3,4,0
Uxie,,480,75,130,95,psychic,,0.3,4,1
Mesprit,,481,105,105,80,psychic,,0.3,4,1
Azelf,,482,125,70,115,psychic,,0.3,4,1
Dialga,,483,150,100,90,steel,dragon,683,4,1
Palkia,,484,150,120,100,water,dragon,336,4,1
Heatran,50,485,130,106,77,fire,steel,430,4,1
Regigigas,,486,80,110,100,normal,,420,4,1
Giratina,,487,120,100,90,ghost,dragon,750,4,1
Cresselia,0,488,75,130,85,psychic,,85.6,4,1
Phione,,489,80,80,80,water,,3.1,4,0
Manaphy,,490,100,100,100,water,,1.4,4,1
Darkrai,,491,135,90,125,dark,,50.5,4,1
Shaymin,,492,120,75,127,grass,grass,2.1,4,1
Arceus,,493,120,120,120,normal,,320,4,1
Victini,,494,100,100,100,psychic,fire,4,5,1
